system:index,area_ha,period,sev_code,veg_code,.geo
0,56.40881730119291,2024_2025,1,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,10.49278446595435,2024_2025,2,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,194.86826472431252,2024_2025,1,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,19.204115573012402,2024_2025,2,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.849625390625,2024_2025,3,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,41.54735950427484,2024_2025,1,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.7045007323261336,2024_2025,2,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.0650404052734375,2024_2025,3,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,7.3555721007582715,2024_2025,1,4.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.39148264160156254,2024_2025,2,4.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,334.98067477381085,2024_2025,1,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,71.02324556461105,2024_2025,2,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,21.175579470932906,2024_2025,3,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.4575988098144531,2024_2025,4,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,79.85163123228784,2024_2025,1,7.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,5.06808116373698,2024_2025,2,7.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
